"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00138806","WEBSTER CITY, IA US","2023-01-01","0.01",",,7,0700",,,"38",",,7","22",",,7"
"USC00138806","WEBSTER CITY, IA US","2023-01-02","0.00",",,7,0700",,,"40",",,7","25",",,7"
"USC00138806","WEBSTER CITY, IA US","2023-01-03","0.61",",,7,0700",,,"34",",,7","28",",,7"
"USC00138806","WEBSTER CITY, IA US","2023-01-04","0.09",",,7,0700",,,"35",",,7","25",",,7"
"USC00138806","WEBSTER CITY, IA US","2023-01-05","0.05",",,7,0700",,,"28",",,7","22",",,7"
"USC00138806","WEBSTER CITY, IA US","2023-01-06","0.00",",,7,0700",,,"28",",,7","10",",,7"
"USC00138806","WEBSTER CITY, IA US","2023-01-07","0.00",",,7,0700",,,"23",",,7","1",",,7"
"USC00138806","WEBSTER CITY, IA US","2023-01-08","0.00","T,,7,0700",,,"17",",,7","-1",",,7"
"USC00138806","WEBSTER CITY, IA US","2023-01-09","0.00",",,7,0700",,,"27",",,7","3",",,7"
"USC00138806","WEBSTER CITY, IA US","2023-01-10","0.00",",,7,0700",,,"40",",,7","18",",,7"
"USC00138806","WEBSTER CITY, IA US","2023-01-11","0.00",",,7,0700",,,"31",",,7","19",",,7"
"USC00138806","WEBSTER CITY, IA US","2023-01-12","0.00",",,7,0700",,,"35",",,7","20",",,7"
"USC00138806","WEBSTER CITY, IA US","2023-01-13","0.00","T,,7,0700",,,"24",",,7","8",",,7"
"USC00138806","WEBSTER CITY, IA US","2023-01-14","0.00","T,,7,0700",,,"20",",,7","8",",,7"
"USC00138806","WEBSTER CITY, IA US","2023-01-15","0.00",",,7,0700",,,"36",",,7","16",",,7"
"USC00138806","WEBSTER CITY, IA US","2023-01-16","0.15",",,7,0700",,,"41",",,7","28",",,7"
"USC00138806","WEBSTER CITY, IA US","2023-01-17","0.33",",,7,0700",,,"44",",,7","30",",,7"
"USC00138806","WEBSTER CITY, IA US","2023-01-18","0.00",",,7,0700",,,"33",",,7","25",",,7"
"USC00138806","WEBSTER CITY, IA US","2023-01-19","0.74",",,7,0700",,,"31",",,7","25",",,7"
"USC00138806","WEBSTER CITY, IA US","2023-01-20","0.01",",,7,0700",,,"30",",,7","21",",,7"
"USC00138806","WEBSTER CITY, IA US","2023-01-21","0.00",",,7,0700",,,"24",",,7","18",",,7"
"USC00138806","WEBSTER CITY, IA US","2023-01-22","0.00",",,7,0700",,,"26",",,7","15",",,7"
"USC00138806","WEBSTER CITY, IA US","2023-01-23","0.00",",,7,0700",,,"20",",,7","1",",,7"
"USC00138806","WEBSTER CITY, IA US","2023-01-24","0.00",",,7,0700",,,"29",",,7","4",",,7"
"USC00138806","WEBSTER CITY, IA US","2023-01-25","0.00",",,7,0700",,,"34",",,7","11",",,7"
"USC00138806","WEBSTER CITY, IA US","2023-01-26","0.00","T,,7,0700",,,"27",",,7","-1",",,7"
"USC00138806","WEBSTER CITY, IA US","2023-01-27","0.00","T,,7,0700",,,"33",",,7","-1",",,7"
"USC00138806","WEBSTER CITY, IA US","2023-01-28","0.03",",,7,0700",,,"35",",,7","10",",,7"
"USC00138806","WEBSTER CITY, IA US","2023-01-29","0.51",",,7,0700",,,"12",",,7","-5",",,7"
"USC00138806","WEBSTER CITY, IA US","2023-01-30","0.00",",,7,0700",,,"5",",,7","-5",",,7"
"USC00138806","WEBSTER CITY, IA US","2023-01-31","0.00",",,7,0700",,,"6",",,7","-19",",,7"
"USC00138806","WEBSTER CITY, IA US","2023-02-01","0.00",",,7,0700",,,"16",",,7","-18",",,7"
"US1IAPK0021","JOHNSTON 3.7 NNW, IA US","2023-01-01","0.00","T,,N",,,,,,
"US1IAPK0021","JOHNSTON 3.7 NNW, IA US","2023-01-02","0.00",",,N",,,,,,
"US1IAPK0021","JOHNSTON 3.7 NNW, IA US","2023-01-03","1.69",",,N",,,,,,
"US1IAPK0021","JOHNSTON 3.7 NNW, IA US","2023-01-04","0.03",",,N",,,,,,
"US1IAPK0021","JOHNSTON 3.7 NNW, IA US","2023-01-05","0.04",",,N",,,,,,
"US1IAPK0021","JOHNSTON 3.7 NNW, IA US","2023-01-06","0.00","T,,N",,,,,,
"US1IAPK0021","JOHNSTON 3.7 NNW, IA US","2023-01-07","0.00",",,N",,,,,,
"US1IAPK0021","JOHNSTON 3.7 NNW, IA US","2023-01-08","0.00",",,N",,,,,,
"US1IAPK0021","JOHNSTON 3.7 NNW, IA US","2023-01-09","0.00",",,N",,,,,,
"US1IAPK0021","JOHNSTON 3.7 NNW, IA US","2023-01-10","0.00",",,N",,,,,,
"US1IAPK0021","JOHNSTON 3.7 NNW, IA US","2023-01-11","0.00",",,N",,,,,,
"US1IAPK0021","JOHNSTON 3.7 NNW, IA US","2023-01-12","0.00","T,,N",,,,,,
"US1IAPK0021","JOHNSTON 3.7 NNW, IA US","2023-01-13","0.00","T,,N",,,,,,
"US1IAPK0021","JOHNSTON 3.7 NNW, IA US","2023-01-14","0.00","T,,N",,,,,,
"US1IAPK0021","JOHNSTON 3.7 NNW, IA US","2023-01-15","0.00",",,N",,,,,,
"US1IAPK0021","JOHNSTON 3.7 NNW, IA US","2023-01-16","0.07",",,N",,,,,,
"US1IAPK0021","JOHNSTON 3.7 NNW, IA US","2023-01-17","0.06",",,N",,,,,,
"US1IAPK0021","JOHNSTON 3.7 NNW, IA US","2023-01-18","0.00",",,N",,,,,,
"US1IAPK0021","JOHNSTON 3.7 NNW, IA US","2023-01-19","0.65",",,N",,,,,,
"US1IAPK0021","JOHNSTON 3.7 NNW, IA US","2023-01-20","0.02",",,N",,,,,,
"US1IAPK0021","JOHNSTON 3.7 NNW, IA US","2023-01-21","0.00","T,,N",,,,,,
"US1IAPK0021","JOHNSTON 3.7 NNW, IA US","2023-01-22","0.09",",,N",,,,,,
"US1IAPK0021","JOHNSTON 3.7 NNW, IA US","2023-01-23","0.00","T,,N",,,,,,
"US1IAPK0021","JOHNSTON 3.7 NNW, IA US","2023-01-24","0.00",",,N",,,,,,
"US1IAPK0021","JOHNSTON 3.7 NNW, IA US","2023-01-25","0.00",",,N",,,,,,
"US1IAPK0021","JOHNSTON 3.7 NNW, IA US","2023-01-26","0.00","T,,N",,,,,,
"US1IAPK0021","JOHNSTON 3.7 NNW, IA US","2023-01-27","0.00","T,,N",,,,,,
"US1IAPK0021","JOHNSTON 3.7 NNW, IA US","2023-01-28","0.02",",,N",,,,,,
"US1IAPK0021","JOHNSTON 3.7 NNW, IA US","2023-01-29","0.10",",,N",,,,,,
"US1IAPK0021","JOHNSTON 3.7 NNW, IA US","2023-01-30","0.00","T,,N",,,,,,
"US1IAPK0021","JOHNSTON 3.7 NNW, IA US","2023-01-31","0.00",",,N",,,,,,
"US1IAPK0021","JOHNSTON 3.7 NNW, IA US","2023-02-01","0.00",",,N",,,,,,
"US1HIHI0055","KURTISTOWN 6.6 SSE, HI US","2023-01-01","0.11",",,N",,,,,,
"US1HIHI0055","KURTISTOWN 6.6 SSE, HI US","2023-01-02","0.00","T,,N",,,,,,
"US1HIHI0055","KURTISTOWN 6.6 SSE, HI US","2023-01-03","0.00","T,,N",,,,,,
"US1HIHI0055","KURTISTOWN 6.6 SSE, HI US","2023-01-04","0.00","T,,N",,,,,,
"US1HIHI0055","KURTISTOWN 6.6 SSE, HI US","2023-01-05","0.14",",,N",,,,,,
"US1HIHI0055","KURTISTOWN 6.6 SSE, HI US","2023-01-06","0.07",",,N",,,,,,
"US1HIHI0055","KURTISTOWN 6.6 SSE, HI US","2023-01-07","0.02",",,N",,,,,,
"US1HIHI0055","KURTISTOWN 6.6 SSE, HI US","2023-01-08","0.00",",,N",,,,,,
"US1HIHI0055","KURTISTOWN 6.6 SSE, HI US","2023-01-09","0.00",",,N",,,,,,
"US1HIHI0055","KURTISTOWN 6.6 SSE, HI US","2023-01-10","0.00",",,N",,,,,,
"US1HIHI0055","KURTISTOWN 6.6 SSE, HI US","2023-01-11","0.00",",,N",,,,,,
"US1HIHI0055","KURTISTOWN 6.6 SSE, HI US","2023-01-12","0.00",",,N",,,,,,
"US1HIHI0055","KURTISTOWN 6.6 SSE, HI US","2023-01-13","0.00",",,N",,,,,,
"US1HIHI0055","KURTISTOWN 6.6 SSE, HI US","2023-01-14","0.00",",,N",,,,,,
"US1HIHI0055","KURTISTOWN 6.6 SSE, HI US","2023-01-15","0.00",",,N",,,,,,
"US1HIHI0055","KURTISTOWN 6.6 SSE, HI US","2023-01-16","0.01",",,N",,,,,,
"US1HIHI0055","KURTISTOWN 6.6 SSE, HI US","2023-01-17","0.21",",,N",,,,,,
"US1HIHI0055","KURTISTOWN 6.6 SSE, HI US","2023-01-18","0.20",",,N",,,,,,
"US1HIHI0055","KURTISTOWN 6.6 SSE, HI US","2023-01-19","0.31",",,N",,,,,,
"US1HIHI0055","KURTISTOWN 6.6 SSE, HI US","2023-01-20","0.08",",,N",,,,,,
"US1HIHI0055","KURTISTOWN 6.6 SSE, HI US","2023-01-21","0.00","T,,N",,,,,,
"US1HIHI0055","KURTISTOWN 6.6 SSE, HI US","2023-01-22","0.02",",,N",,,,,,
"US1HIHI0055","KURTISTOWN 6.6 SSE, HI US","2023-01-23","0.37",",,N",,,,,,
"US1HIHI0055","KURTISTOWN 6.6 SSE, HI US","2023-01-24","0.32",",,N",,,,,,
"US1HIHI0055","KURTISTOWN 6.6 SSE, HI US","2023-01-25","0.02",",,N",,,,,,
"US1HIHI0055","KURTISTOWN 6.6 SSE, HI US","2023-01-26","0.00","T,,N",,,,,,
"US1HIHI0055","KURTISTOWN 6.6 SSE, HI US","2023-01-27","0.01",",,N",,,,,,
"US1HIHI0055","KURTISTOWN 6.6 SSE, HI US","2023-01-28","0.11",",,N",,,,,,
"US1HIHI0055","KURTISTOWN 6.6 SSE, HI US","2023-01-29","0.31",",,N",,,,,,
"US1HIHI0055","KURTISTOWN 6.6 SSE, HI US","2023-01-30","0.48",",,N",,,,,,
"US1HIHI0055","KURTISTOWN 6.6 SSE, HI US","2023-01-31","0.46",",,N",,,,,,
"US1HIHI0055","KURTISTOWN 6.6 SSE, HI US","2023-02-01","0.32",",,N",,,,,,
"USC00138808","WEBSTER CITY, IA US","2023-01-01","0.00",",,H",,,,,,
"USC00138808","WEBSTER CITY, IA US","2023-01-02","0.00",",,H",,,,,,
"USC00138808","WEBSTER CITY, IA US","2023-01-03","0.55",",,H",,,,,,
"USC00138808","WEBSTER CITY, IA US","2023-01-04","0.12",",,H",,,,,,
"USC00138808","WEBSTER CITY, IA US","2023-01-06","0.00",",,H",,,,,,
"USC00138808","WEBSTER CITY, IA US","2023-01-07","0.00",",,H",,,,,,
"USC00138808","WEBSTER CITY, IA US","2023-01-08","0.00",",,H",,,,,,
"USC00138808","WEBSTER CITY, IA US","2023-01-09","0.00",",,H",,,,,,
"USC00138808","WEBSTER CITY, IA US","2023-01-11","0.00",",,H",,,,,,
"USC00138808","WEBSTER CITY, IA US","2023-01-12","0.00",",,H",,,,,,
"USC00138808","WEBSTER CITY, IA US","2023-01-13","0.00",",,H",,,,,,
"USC00138808","WEBSTER CITY, IA US","2023-01-14","0.00",",,H",,,,,,
"USC00138808","WEBSTER CITY, IA US","2023-01-15","0.00",",,H",,,,,,
"USC00138808","WEBSTER CITY, IA US","2023-01-16","0.07",",,H",,,,,,
"USC00138808","WEBSTER CITY, IA US","2023-01-17","0.15",",,H",,,,,,
"USC00138808","WEBSTER CITY, IA US","2023-01-18","0.00",",,H",,,,,,
"USC00138808","WEBSTER CITY, IA US","2023-01-21","0.00",",,H",,,,,,
"USC00138808","WEBSTER CITY, IA US","2023-01-22","0.00",",,H",,,,,,
"USC00138808","WEBSTER CITY, IA US","2023-01-23","0.00",",,H",,,,,,
"USC00138808","WEBSTER CITY, IA US","2023-01-24","0.00",",,H",,,,,,
"USC00138808","WEBSTER CITY, IA US","2023-01-25","0.00",",,H",,,,,,
"USC00138808","WEBSTER CITY, IA US","2023-01-26","0.00",",,H",,,,,,
"USC00138808","WEBSTER CITY, IA US","2023-01-28","0.01",",,H",,,,,,
"USC00138808","WEBSTER CITY, IA US","2023-01-30","0.00",",,H",,,,,,
"USC00138808","WEBSTER CITY, IA US","2023-01-31","0.00",",,H",,,,,,
"USC00138808","WEBSTER CITY, IA US","2023-02-01","0.00",",,H",,,,,,
"USW00014972","SPENCER MUNICIPAL AIRPORT, IA US","2023-01-01","0.00",",,W",,,"36",",,W",,
"USW00014972","SPENCER MUNICIPAL AIRPORT, IA US","2023-01-02","0.02",",,W",,,"30",",,W","26",",,W"
"USW00014972","SPENCER MUNICIPAL AIRPORT, IA US","2023-01-03","0.41",",,W",,,"33",",,W","25",",,W"
"USW00014972","SPENCER MUNICIPAL AIRPORT, IA US","2023-01-04","0.03",",,W",,,"27",",,W","22",",,W"
"USW00014972","SPENCER MUNICIPAL AIRPORT, IA US","2023-01-05","0.00","T,,W",,,"27",",,W","7",",,W"
"USW00014972","SPENCER MUNICIPAL AIRPORT, IA US","2023-01-06","0.00",",,W",,,"21",",,W","-1",",,W"
"USW00014972","SPENCER MUNICIPAL AIRPORT, IA US","2023-01-07","0.00","T,,W",,,"15",",,W","-8",",,W"
"USW00014972","SPENCER MUNICIPAL AIRPORT, IA US","2023-01-08","0.00",",,W",,,"25",",,W","-8",",,W"
"USW00014972","SPENCER MUNICIPAL AIRPORT, IA US","2023-01-09","0.00",",,W",,,"37",",,W","8",",,W"
"USW00014972","SPENCER MUNICIPAL AIRPORT, IA US","2023-01-10","0.00",",,W",,,"28",",,W","10",",,W"
"USW00014972","SPENCER MUNICIPAL AIRPORT, IA US","2023-01-11","0.00",",,W",,,"32",",,W","19",",,W"
"USW00014972","SPENCER MUNICIPAL AIRPORT, IA US","2023-01-12","0.00","T,,W",,,"24",",,W","11",",,W"
